name,lat,lng
천미향1호점,37.5168164,127.0342688
취홍-강남점,37.5050995,127.0230257
굽네치킨&피자-역삼2동점,37.4933764,127.0423385
현경(본점),37.51629930000001,127.0393635
교촌치킨-역삼1호점,37.4937035,127.0353592
김천재의육회반한연어,37.507476,127.0267895
꽃돼지한식,37.5097377,127.0401218
스시마이우-가로수길점,37.5183656,127.0223641
양자강(역삼동),37.5010846,127.0403049
롯데리아-선릉점,37.5031218,127.0456251
46이너스피자,37.5125688,127.043229
파스토보이-역삼점,37.5012627,127.0349543
두마리찜닭두찜-강남역삼점,37.4947249,127.0352013
맛없으면환불해주는장군집,37.5048302,127.0442891
혼밥대왕-강남점,37.5102134,127.0350246
롯데리아-역삼점,37.498443,127.0305178
리밍,37.503987,127.0400936
종로김밥-르네상스점,37.5031503,127.0391373
비스트로피자-강남1호점,37.5119944,127.0368533
BHC-서초교대점,37.4892329,127.0135868
솔낭구,37.4987663,127.0329383
신화불닭-강남점,37.5121004,127.0350177
스카이31-강남점,37.4965442,127.0247725
정성이가득찬집밥-강남본점,37.489877,127.0351754
쌈밥잘하는집,37.5086779,127.0360001
굽네치킨&피자-역삼1동점,37.4943001,127.0338248
타이반쩜-교대점,37.4929717,127.0134121
스쿨푸드-양재점,37.47596370000001,127.0432991
차고집칡냉면&돈까스-강남점,37.4955833,127.0358303
롯데리아-학동역점,37.51496059999999,127.0331072
BHC-압구정역점,37.5224365,127.0273826
팔당충무김밥국수,37.5170588,127.0379115
문숙이미나리식당-강남직영점,37.499544,127.0313551
스쿨푸드-방배점,37.4788234,126.9851102
장모님이떴다-본점,37.5055445,127.0338586
경성밥상-강남본점,37.5056066,127.0294479
회통령,37.4890586,127.0094482
김태준의탕탕집,37.5106058,127.0230173
BHC-역삼스타점,37.5056325,127.0401144
교촌치킨-논현1호점,37.5082833,127.0234027
제육대가-역삼점,37.495607,127.0456303
후라이드참잘하는집-역삼점,37.4938222,127.0385342
달떡볶이-강남점,37.4959332,127.0251891
스쿨푸드-서초점,37.4929293,127.016976
피자아이,37.5036807,127.0373356
스쿨푸드-서초점,37.4929293,127.016976
피자아이,37.5036807,127.0373356
치즈듬뿍피자&스파게티,37.502883,127.0377372
논현밀밭&직화구이,37.508513,127.0323681
세븐브릭스키친파스타&리조또,37.5031151,127.0383619
페리카나-서초동점,37.488823,127.0302444
호야생과일쥬스&눈꽃빙수,37.5014024,127.0338521
기쁨이네집-24시,37.5085007,127.0243059
지코바치킨-서초1호점,37.4880516,127.0085957
만다린,37.4956525,127.0408992
소풍김밥-역삼점,37.4975512,127.0329687
생생돈까스-논현점,37.5111314,127.0236009
칙바이칙-강남역점,37.4996118,127.028562
뚜레쥬르-강남점,37.498044,127.0264112
마라하오-서초점,37.4965096,127.013896
생생돈까스-강남점,37.4932331,127.040782
반올림피자샵-강남2호점,37.5144222,127.0437845
원할머니국수보쌈-논현점,37.5070967,127.0242744
피자헛-강남역삼점,37.4909199,127.0346633
맛없으면환불해주는장군집-서초점,37.4853614,126.9858467
나무스시앤참치,37.5040758,127.0526614
밥도둑들,37.5552658,126.9288691
강남매운닭도리찜닭,37.5086779,127.0360001
동대문엽기떡볶이-양재점,37.4856381,127.0369023
두마리찜닭두찜-강남논현점,37.5119657,127.0349941
두마리찜닭두찜-서초방배점,37.4825749,126.9946449
찜세상-강남점,37.5055445,127.0338586
가유카페-강남점,37.5049032,127.0360916
네네치킨-역삼1점,37.4932496,127.0360492
김뿌라스시,37.4890586,127.0094482
일공중식,37.5159317,127.0652002
한식밥상-강남논현점,37.50967139999999,127.024656
스쿨푸드-삼성점,37.5019398,127.0567566
7번가피자-서초교대점,37.4903227,127.0205786
별족발,37.5046722,127.0431488
키즈앤맘,37.5102181,127.0390343
깐부치킨-학동역점,37.51445880000001,127.0332712
팔공티-한티점,37.4974998,127.0526427
또래오래-강남논현점,37.5072617,127.031191
뚜레쥬르-강남구청역점,37.51584769999999,127.0422703
뚜레쥬르-강남구청역점,37.51584769999999,127.0422703
킹케밥,37.5346735,126.9945626
멕시카나-선릉역점,37.4985924,127.0590243
노랑통닭-역삼점,37.5021261,127.0357541
뉴욕버거앤치킨-신논현점,37.5065666,127.0226074
BHC-한티역점,37.49816089999999,127.0528346
맛들의축제-강남점,37.5055445,127.0338586
육회와스시한판,37.4890586,127.0094482
푸라닭-역삼1동점,37.4971751,127.0335854
두마리찜닭두찜-서초양재점,37.4711852,127.0439918
빙달DessertCafe-논현점,37.5184174,127.0380027
청년피자-강남1호점,37.516722,127.0408208
홍콩반점0410-교대역점,37.4927691,127.0161311
롯데리아-남부터미널점,37.485101,127.015857
엔제리너스-강남역점,37.4999834,127.0259797
